Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Monster (2014),South Korea,"Bok Soon, managing a street stall while caring for her sister, earns a reputation as the ""psycho bitch"" due to her uncontrollable rage. Her life takes a dark turn when serial killer Tae Soo murders her sister, fearing she discovered his secret. Fueled by vengeance, Bok Soon seeks to settle the score with Tae Soo, who is determined to eliminate her as the last threat. Their gripping battle spirals into an electrifying showdown, with the question of survival hanging in the balance: the fiery Bok Soon or the ruthless Tae Soo?

",Action,"Lee Min Ki, Role: Tae Soo
Kim Go Eun, Role: Bok Sun
Kim Roe Ha, Role: Ik Sang
Ahn Seo Hyun, Role: Na Ri
Kim Boo Sun, Role: Kyung Ja [Ik Sang's and Tae Soo's mother]
Nam Kyung Eup, Role: President Joon","Action
 Thriller
 Psychological
 Drama",7.7,4747,https://mydramalist.com//6529-monster-2014
Mood of the Day (2016),South Korea,"Soo Jung has been with her boyfriend for 10 years, and it’s clear to everyone but her that their romance is going nowhere. On a business trip to Busan by train, she sits next to Jae Hyun whose flirting leaves her indignant and increasingly flustered. She tries to push him away but ends up sharing a car ride to Busan with him when the train breaks down. During their impromptu road trip, she discovers that there might be more to Jae Hyun than first appeared. Edit Translation English Español Português (Brasil) magyar / magyar nyelv",Min So Yeon,"Yoo Yeon Seok, Role: Kim Jae Hyun
Moon Chae Won, Role: Bae Soo Jung
Jo Jae Yoon, Role: Senior Kang
Park Min Woo, Role: Kang Jin Chul 
Lee Yeon Du, Role: Bo Gyung 
Ga Deuk Hee, Role: Yoon Joo ","Comedy
 Romance",8.1,6950,https://mydramalist.com//11235-mood-of-the-day
A Round Trip to Love (2016),China,"Lu Feng and Xiao Chen are two university students who fall madly in love with each other. However, when their families discover them, they oppose and try to separate them. Lu Feng's father sends his son to Hong Kong while Xiao Chen must face the prejudices and isolation he suffers in college because of his sexuality. Several years later, both young people meet again, but this time in a company as boss and employee. Both discover that they still feel love for each other and become lovers, but happiness evades them again. Their relationship soon becomes a disease.

",Action,"Gao Tai Yu, Role: Lu Feng
Huang Jing Xiang, Role: Xiao Chen
Yi Shuai, Role: Qin Lang
Xiang Hao, Role: Cheng Yi Chen","Action
 Romance
 Drama",7.0,5528,https://mydramalist.com//18606-a-round-trip-to-love
A Tale of Two Sisters (2003),South Korea,"Su Mi and Su Yeon return home after an extended illness and hospital stay. Things have not been the same since their mother passed away. Their return is welcomed by Eun Joo, their stepmother. It's evident that Su Mi, the older and stronger of the two, isn't afraid to speak her mind when it comes to their family troubles. Su Yeon is timider and wary of their stepmother and looks to Su Mi for help. Continually picked on and harassed by their stepmother, the two have no choice but to endure the relationship for their father's sake. Su Mi promises Su Yeon that she will never let their stepmother beat them again. Unexplainable things start to occur at the house. Something has changed, no one knows what it is, but the sisters can feel it. On their first night back, Su Yeon hears someone running up the stairs, opening her door, and walking up to her bed. As soon as she pulls the covers over her head, they are pulled right off, yet no one is around. Could it be their stepmother trying to torment them? Or could it be that there's something more sinister at work, a supernatural force in the houses that wants to drive everyone away?

~~ Loosely based on a popular Korean fairy tale, ""Janghwa Hongryeon Jeon"" Edit Translation English Русский Português (Portugal) Español",Thriller,"Kim Gab Soo, Role: Bae Moo Hyun
Yeom Jung Ah, Role: Heo Eun Joo
Im Soo Jung, Role: Bae Soo Mi
Moon Geun Young, Role: Bae Soo Yeon
Park Mi Hyun, Role: Soo In [Soo Mi's birth mother]
Woo Ki Hong, Role: Sun Kyu [Eun Joo's brother]","Thriller
 Mystery
 Horror
 Supernatural",7.6,5907,https://mydramalist.com//235-a-tale-of-two-sisters
You're My Pet (2011),South Korea,A fashion editor with the looks and the brains moves in with a perfect pretty man. This romantic melodrama is based on a Japanese comic that was also made into a drama in Japan. Edit Translation English Español Português (Brasil) Polski,Comedy,"Jang Geun Suk, Role: Kang In Ho / ""Momo"" 
Kim Ha Neul, Role: Ji Eun Yi [Mistress]
Jung Yoo Mi, Role: Lee Young Eun
Lee Jin Hee, Role: Yoo Ah Young
Kang Hae In, Role: Kim Mi Sung
Son Se Bin, Role: Kim Ji Young","Comedy
 Romance
 Drama",7.2,11234,https://mydramalist.com//1691-youre-my-pet
Hot Young Bloods (2014),South Korea,"Set in the early 1980's in Heongseong, South Korea, Young Sook is the feared leader of a female gang at her high school. Although she is known for her toughness, she secretly has a crush on Joong Gil. Joong Gil is the school's playboy, and he attempts to woo all the girls in school with the exception of Young Sook. That's because Gwang Shik, the feared leader of a rival school's male gang, views Young Sook as his woman.

A new female transfer student from Seoul arrives at their high school. She's different from the other girls and very beautiful. Joong Gil falls for her instantly, while Young Sook attempts to prevent the new girl from encroaching on her secret crush. But trouble brews for Joong Gil as Gwang Shik becomes aware of Young Sook stepping in between Joong Gil and the new transfer student. Edit Translation English 中文(台灣) Arabic Русский",Comedy,"Park Bo Young, Role: Young Sook
Lee Jong Suk, Role: Joong Gil
Kim Young Kwang, Role: Kwang Shik
Lee Se Young, Role: So Hee
Jeon Soo Jin, Role: Yun Hwa
Ra Mi Ran, Role: Nan Young","Comedy
 Romance
 Youth
 Drama",7.7,10305,https://mydramalist.com//7355-hot-young-bloods
Peach Girl (2017),Japan,"Adachi Momo is a female high school student. She appears to be a wild girl due to her tan skin and dyed hair, but she is  actually a naive and sweet student. Since her days in middle school, Momo has secretly held feelings for classmate Toji. Meanwhile, the most popular male student, Okayasu Kairi, becomes interested in her. Her friend Sae is jealous of her and tries to block Toji from Momo. Momo is conflicted with Toji and Kairi, but she has to make a decision.

~~ Adapted from the manga ""Peach Girl"" (ピーチガール) by Ueda Miwa (上田美和). Edit Translation English Español Türkçe magyar / magyar nyelv",Yamaoka Junpei,"Yamamoto Mizuki, Role: Adachi Momo
Inoo Kei, Role: Okayasu Kairi
Mackenyu, Role: Tojigamori Kazuya / Toji
Nagano Mei, Role: Kashiwagi Sae
Motokariya Yuika, Role: Misao Aki
Mikami Kensei, Role: Okayasu Ryo [Kairi's brother]","Comedy
 Romance
 Youth",7.3,5132,https://mydramalist.com//17273-peach-girl
The Flu (2013),South Korea,"It all starts when a human trafficker is infected with an unknown virus and dies in a Bundang hospital, covered in oozing red rashes and coughing up blood. Within hours the virus spreads all over the city and death goes viral as the body count rapidly rises. Medical professionals are in a panic over the mystery killer virus and soon the government orders the military into quarantine the entire area — no one gets in, no one gets out. Desperation and violence grip the public as the infected and non-infected struggle for life and everything begins to spiral out of control.

",Lee Young Jong,"Jang Hyuk, Role: Kang Ji Goo 
Park Soo Ae, Role: Kim In Hae
Park Min Ha, Role: Kim Mi Reu 
Kim Ki Hyun, Role: [Prime Minister]
Lee Hee Joon, Role: Byung Gi
Ma Dong Seok, Role: Jun Gook Hwan","Action
 Thriller
 Drama
 Medical",8.4,8978,https://mydramalist.com//5949-the-flu
My Little Monster (2018),Japan,"Mizutani Shizuku is a self-absorbed overachiever,​ concerned only with maintaining the highest grades in school.​ Yoshida Haru is an impulsive short tempered brute,​ who scares everyone with his explosive bursts of violence.​
Haru gets suspended on the first day of school when he encounters some bullies harassing a student and dispatches the bullies with great bloody violence.​ Mizutani is tasked with delivering school materials to Haru who interprets this as an act of friendship and latches on to Mizutani,​ much to her dismay.​ And so begins a strange and potentially combustible relationship!

",Tsukikawa Sho,"Suda Masaki, Role: Haru Yoshida
Tsuchiya Tao, Role: Shizuku Mizutani
Yamada Yuki, Role: Yamaguchi Kenji / ""Yamaken""
Ikeda Elaiza, Role: Natsume Asako
Sano Gaku, Role: Sasahara Sohei / ""Sasayan""
Hamabe Minami, Role: Oshima Chizuru","Comedy
 Romance
 Youth",7.8,6076,https://mydramalist.com//23806-my-little-monster
The Yin-Yang Master: Dream of Eternity (2020),China,"When a demonic serpent reawakens, the Yin-Yang Masters must solve a murder mystery and protect their realms from a dark conspiracy at the royal court.

",Edward Guo,"Mark Chao, Role: Qing Ming
Deng Lun, Role: Bo Ya
Wang Zi Wen, Role: Princess Zhang Ping
Wang Duo, Role: He Shou Ye | Zhong Xing
Jessie Li, Role: Long Ye
Xu Kai Cheng, Role: Kuang Hua Shi 'Crazy Painter'","Mystery
 Wuxia
 Fantasy",8.5,7351,https://mydramalist.com//53307-qing-ya-ji
Swing Kids (2018),South Korea,"Set during the Korean War, North Korean and Chinese prisoners of war are sent to a camp on Geoje Island in South Korea. The POW camp itself is under intense strife between prisoners who are pro-communist and anti-communist. Roh Ki Soo is a young North Korean soldier held at the Geoje POW Camp.

Meanwhile, Sergeant Jackson is ordered by a superior officer to form a tap-dancing team from the POW camp. He holds an audition in the camp and selects Chinese soldier Xiaofang, South Korean Kang Byung Sam, who was falsely accused of being a communist sympathizer and civilian Yang Pan Rae, who wants to support her family. Sergeant Jackson also recognizes the immense talent Rho Ki Soo has for dance. Soon, the ""Swing Kids"" are formed, but will their dreams of dancing come true?

~~ Adapted from the Korean musical “Rho Ki Soo”, written by Jang Woo Sung and directed by Kim Tae Hyung. Edit Translation English magyar / magyar nyelv dansk Norsk",Music,"Doh Kyung Soo, Role: Roh Ki Soo
Jared Grimes, Role: Jackson
Park Hye Soo, Role: Yang Pan Rae
Oh Jung Se, Role: Kang Byung Sam
Kim Min Ho, Role: Xiao Pang
Ross Kettle, Role: B. Roberts","Music
 Drama
 Sports
 War",8.8,4923,https://mydramalist.com//24103-swing-kids
Burn The Stage: The Movie (2018),South Korea,"A journey of 40 concerts across 19 cities with more than 550,000 roaring audience members, making history that gave wings to seven boys— Burn the Stage: the Movie is the first BTS feature film that delivers the most intimate look to date of the 2017 BTS LIVE TRILOGY EPISODE III THE WINGS TOUR. Edit Translation English Русский Español Português (Brasil)",Park Joon Soo,"Jin, Role: [Himself]
Suga, Role: [Himself]
J-Hope, Role: [Himself]
RM, Role: [Himself]
Park Ji Min, Role: [Himself]
V, Role: [Himself]","Music
 Life
 Documentary",9.1,7180,https://mydramalist.com//31346-burn-the-stage-the-movie
Step for You (2018),South Korea,"Yu Sang is a school newspaper journalist and wants to interview Jun Han for an article. Jun Han accepts it but wants Yu Sang to practice dancing with him in return. As the practice goes on, Yu Sang finds himself attracted to Jun Han. Edit Translation English 한국어 Русский Türkçe",Romance,"Lee Kang San, Role: Lee Yoo Sang
Ahn Dae Kyum, Role: Joon Han",Romance,7.7,3653,https://mydramalist.com//33107-step-for-you
Exit (2019),South Korea,"Yong Nam was one of the best rock climbers in college but hasn’t had much luck elsewhere after graduation. He has failed to get a job for many years and has to rely on his parents just to get by. For his mother’s 70th birthday, he insisted on having the party at Dream Garden because his old crush, Eui Ju works there. When a disaster strikes, covering an entire district in Seoul with mysterious white gas, he has to use all of his rock climbing skills with the help of Eui Ju to get everyone to safety.

",Lee Sang Geun,"Jo Jung Suk, Role: Lee Yong Nam
Im Yoon Ah, Role: Eui Joo
Go Doo Shim, Role: Hyun Ok [Yong Nam's mother]
Park In Hwan, Role: Jang Soo [Yong Nam's father]
Kim Ji Young, Role: Jung Hyun [Yong Nam's sister]
Kang Ki Young, Role: Gu [Manager of Cloud Garden]","Action
 Thriller
 Comedy
 Drama",8.4,8966,https://mydramalist.com//28794-exit
Drowning Love (2016),Japan,"Natsume Mochizuki was a magazine model in Tokyo but moves to the rural town of Ukigumocho. Mochizuki, feeling depressed about living in the boring countryside, meets Koichiro Hasegawa, a member of a locally prominent family of Shinto priests, and gets caught in an intense attraction… It’s an epic love story that intensely and beautifully depicts the feelings of omnipotence and frustration that comes with being a teenager. Edit Translation English magyar / magyar nyelv dansk Norsk",Romance,"Komatsu Nana, Role: Mochizuki Natsume
Suda Masaki, Role: Hasegawa Koichiro
Shigeoka Daiki, Role: Otomo Katsutoshi
Kamishiraishi Mone, Role: Matsunaga Kana
Saito Yoichiro, Role: Naoki
Horiuchi Masami, Role: Koshiro","Romance
 Life
 Youth
 Drama",7.2,5517,https://mydramalist.com//16643-drowning-love
Your Lie in April (2016),Japan,"Kosei Arima won numerous piano competitions while under the strict watch of his mother. He was known as the human metronome during that time. Since the death of his mother, Kosei Arima has been unable to hear the sound of his piano. Kosei Arima then meets Kaori Miyazono through childhood friend Tsubaki Sawabe. Kaori Miyazono plays the violin and has a free sprit. Since meeting her, Kosei Arima is able to face the piano again. Meanwhile, Kaori holds a secret.

~~ Adapted from the manga ""Your Lie In April"" (四月は君の嘘) by Arakawa Naoshi (新川直司). Edit Translation English 한국어 日本語 Русский",Shinjo Takehiko,"Yamazaki Kento, Role: Arima Kosei
Hirose Suzu, Role: Miyazono Kaori
Ishii Anna, Role: Sawabe Tsubaki
Nakagawa Taishi, Role: Watari Ryota
Itaya Yuka, Role: Seto Hiroko
Dan Rei, Role: Arima Saki","Music
 Psychological
 Romance
 Drama",7.9,5615,https://mydramalist.com//15469-your-lie-in-april
