Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
Longing Heart (2018),2018,South Korea,"A man named Shin Woo regrets letting his first love go ten years ago because he didn’t have the courage to confess. However, he gets the chance to win her again when he travels back in time, and this time he’s armed with the knowledge that she liked him back then too. He tries to help his younger self to win her heart but unfortunately, he turns out to be a competitor to  himself as the girl starts to crush on older Shin Woo . The plot thickens as present and past tangles when he starts to find out the reason they got separated.

~~ Adapted from the webtoon ""Aeganjang"" (애간장) by Kim Hee Ran (김희란) and Kim Byung Gwan (김병관). ",Park Ga Yun,"Lee Jung Shin, Role: Kang Shin Woo
Seo Ji Hoon, Role: Kang Shin Woo [Young]
Lee Yeol Eum, Role: Han Ji Soo
Kim Min Seok, Role: Kim Min Seok
Min Do Hee, Role: Jang So Ra
Lee Joo Hyung, Role: Choo Geun Deok","Mystery
 Comedy
 Romance
 Fantasy",7.8,3856,https://mydramalist.com/24965-longing-heart
Twenty-Twenty (2020),2020,South Korea,"Being forced to live under the constant pressure of her mother’s unrealistic expectations and strict control, Chae Da Hee has spent her entire life miserable. Now, as a university freshman, Da Hee hopes to find a freedom she’s never had before. Determined to make a fresh start at school, Da Hee is trying her best to do just that. But trying to be herself while still attempting to live up to everyone else’s expectations of her is proving to be a lot more difficult than she originally imagined.

As if dealing with her mother’s overbearing nature wasn’t hard enough, it seems to Da Hee that even her friends are trying to tell her where to go and what to do. Unable to be herself or do what she wants, Da Hee is beginning to feel suffocated by those closest to her. As she struggles to find a way out, she finds a sympathetic soul in her classmate Lee Hyun Jin. With dreams of becoming a music producer, Hyun Jin is doing everything he can to turn those dreams into reality, but it isn’t easy when he has his own set of family problems to deal with.

Connected by a shared pain, Da Hee and Hyun Jin find comfort in each other. But will the outside forces in their lives allow them to draw closer, or will they ultimately tear them apart?

",Han Soo Ji,"Han Sung Min, Role: Chae Da Hee
Kim Woo Seok, Role: Lee Hyun Jin
Park Sang Nam, Role: Jung Ha Jun
Kang Yu Chan, Role: Son Bo Hyun
Chae Won Bin, Role: Baek Ye Eun
Jin Ho Eun, Role: Kang Dae Geun","Romance
 Youth
 Drama",8.0,5381,https://mydramalist.com/57791-twenty-twenty
Second Love (2015),2015,Japan,"Taira Kei, a contemporary dance prodigy, pursued his talent from a young age and even studied in Germany before facing a mid-career setback that left him frustrated. Returning to Tokyo, he takes up part-time work as he endeavors to reignite his dream.

Nishihara Yui, a chemistry teacher in her 30s at a prestigious high school, grapples with loneliness despite an affair with a married colleague. Her life takes an unexpected turn when she meets Kei, igniting a passionate affair that engulfs her.

",Tsukahara Ayuko,"Kamenashi Kazuya, Role: Taira Kei
Fukada Kyoko, Role: Nishihara Yui
Hayami Akari, Role: Noguchi Ayako [Kei's childhood friend]
Koshiba Fuka, Role: Takeuchi Sora [Student]
Namase Katsuhisa, Role: Takayanagi Taro
Aso Yumi, Role: Nishihara Mariko [Yui's mother]","Romance
 Life
 Drama",7.2,2582,https://mydramalist.com/12096-second-love
His Man Season 1 (2022),2022,South Korea,"As South Korea's very first gay dating reality series, ""His Man"" brings together a group of eight hot, sexy, free and single gay men to a shared house where they are to live, interact and open up to each other in their quest for “true love”.

",Romance,"Kim Chan Kyu, Role: [Contestant]
Kim Seon Yul, Role: [Contestant]
Jeon Eun Chan, Role: [Contestant]
Lee Jeong Hyun, Role: [Contestant]
Kim Chang Min, Role: [Contestant]
Hyuk Jun, Role: [Contestant]","Romance
 Life",8.3,3501,https://mydramalist.com/731511-man-s-romance
House of Stars (2023),2023,Thailand,"Every house has rules. What would they be in the house of the top-country star manager, a place where many top actors are gathered? They have to live together under the house rules and compete for their jobs. They have set their hearts and minds on becoming number one in the industry. But there's always a secret behind the curtain. Will they be able to suppress their desires? Will they be able to conceal their secrets? 

",House Setting,"Heng Thatpong Rojsangruang, Role: Wayha
Namchok Thanon Apithanawong, Role: Wayu
Pepo Nutchapan Paramacharenroj, Role: Gun
Leo Sirapob Pratipnatsir, Role: Pitch Pinyobon
Boss Pornpipat Kunisorn, Role: So 
Double Tupthep Jiraprasertkon, Role: Pawin","Thriller
 Romance
 Drama",6.5,2284,https://mydramalist.com/736739-house-of-stars
How to Hate You (2019),2019,South Korea,"The drama follows the dating adventures of Oh Mi Ri, a college freshman who finds herself struggling to navigate love and friendship on campus.

",Friends To Lovers,"Na Jae Min, Role: Han Dae Kang
Kim Ji In, Role: Oh Mi Ri
Lee Jong Won, Role: Go Eun Tae
Kim Yoo Jin, Role: Lee Da Som
Ahn Yu Jeong, Role: Song Hye Kyo
Tony Ahn, Role: (Ep.2)","Comedy
 Romance
 Youth
 Drama",7.8,4523,https://mydramalist.com/33434-how-to-hate-you
Battle of Changsha (2014),2014,China,"'Battle of Changsha' retells the turbulent events of the second Sino-Japanese War from the perspective of the Hu family, particularly through the eyes of a 16-year-old girl named Hu Xiang Xiang and her twin brother, Hu Xiao Man.

Gu Qing Ming is a strict Intelligence Officer in the Nationalist Army and the only son of a prominent political family who, against his family's wishes, longs to join the war frontlines and serve his country. He crosses paths with the feisty Hu Xiang Xiang during a matchmaking event held against their wills, and so begins Gu Qing Ming's unwitting interactions and encounters with the rest of the Hu family. 

But as the war intensifies and Changsha is repeatedly under siege, Gu Qing Ming and Hu Xiang Xiang soon learn that there's more to each other than meets the eye, and can their budding relationship survive the flames of war and the threat of separation?

",Wu Tong,"Yang Zi, Role: Hu Xiang Xiang
Wallace Huo, Role: Gu Qing Ming
Ren Cheng Wei, Role: Xue Jun Shan
Niu Jun Feng, Role: Hu Xiang Jiang
Zuo  Xiao Qing, Role: Hu Xiang Jun
Gao Xin, Role: Liu Ming Han","Military
 Historical
 Romance
 War",8.6,2367,https://mydramalist.com/5591-battle-of-changsha
You Are So Sweet (2020),2020,China,"A story that opens its doors to the Chinese dubbing industry for the first time and follows a rookie and her toxic boss.
Xia Xiaoning is your average girl. She's not exceptionally pretty nor is she highly educated. By chance, Xiaoning who's an aspiring voice actress lands a job as Gu Chenyu's  assistant. Gu Chenyu has a secret nobody knows. He's actually one of the best in the dubbing industry. Because Xia Xiaoning and Gu Chenyu are not made equal, their interactions are full of shenanigans. Just as Xia Xiaoniang tries to gain a foothold in the workplace, she crossses paths with Xie Fei, after helping him chase away a dog. Soon after, domineering CEO Xie Fei also begins to pursue Xia Xiaoning. Meanwhile, Xia Xiaoning and Gu Chenyu have set aside their differences to grow closer. With two attractive suitors both falling head over heels for her, who will she choose?

",Cold Man/Warm Woman,"Zhao Zhi Wei, Role: Gu Hui Yu
Amy Sun, Role: Xia Xiao Ning 
Li Xiang Zhe, Role: Xie Fei / ""Xie Wu Chang""
Chen Shi Min, Role: Jin Yao
Ding Xiao Ying, Role: He Yan Ran
Zong Ying, Role: Gu Xi Yuan","Comedy
 Romance
 Drama",8.0,3608,https://mydramalist.com/51979-you-are-so-sweet
Stay With Me (2016),2016,China,"Li Wei Wei is a 30-year-old successful fashion designer. But a near-drowning makes her lose the memory of the past seven years of her life. In her current life, Wei Wei is surprised to learn that she had broken up with her boyfriend, Chen Yi Du, and is now engaged to a man she does not remember, Qi Cheng. Unable to believe her life choices, Wei Wei tries to find out what caused her to break up with Yi Du while Qi Cheng tries to win back his fiancée’s heart. Which man is Wei Wei’s one true love?

",Billy Tang,"Joe Chen, Role: Li Wei Wei / Vivian
Wang Kai, Role: Chen Yi Du / Du
Qiao Ren Liang, Role: Huo Xiao / Kimi
Chen Ran, Role: Tian Jin Feng / Tiffany
Derek Chang, Role: Zhang Li Ao / Leo
Zhang Duo, Role: Mo Fan [Yi Du's brother]","Business
 Romance
 Drama
 Melodrama",7.5,1593,https://mydramalist.com/16341-stay-with-me
Valentine's Day / Rokkaku (2020),2020,Japan,"Adachi and Kurosawa's first Valentine's Day and Adachi receives a box of chocolate… Kurosawa has a rival?
Rokkaku seems to know there's something between Adachi and Kurosawa… the relationship will be exposed?

",Comedy,"Akaso Eiji, Role: Adachi Kiyoshi
Machida Keita, Role: Kurosawa Yuichi
Kusakawa Takuya, Role: Rokkaku Yuta
Sato Ryo, Role: Fujisaki Nozomi [Kiyoshi & Yuichi's colleague]
Suzunosuke, Role: Kengo Urabe","Comedy
 Romance",8.2,6303,https://mydramalist.com/683087-valentine-hexagon
My Sunshine (2015),2015,China,"Zhao Mo Sheng is a university student with a sunny disposition, she's smart, and has a positive personality. Upon their first meeting, she fell in love with He Yi Chen, one of the top students from the Law faculty. He Yi Chen gradually warmed up to her and they became a loving couple. One day he abruptly breaks up with her and she is forced by her father to depart overseas without ever getting an explanation from Yi Chen. 

Seven years later, Zhao Mo Sheng returns home and spots him immediately in a crowded supermarket. As their paths inevitably continue to cross in the present time, details and secrets regarding their break-up and the years in between are revealed.  Will the two college sweethearts be able to reunite?

",Gu Man,"Tiffany Tang, Role: Zhao Mo Sheng
Wallace Chung, Role: He Yi Chen
Tan Kai, Role: Ying Hui
Eric Le Yang, Role: Lu Yuan Feng
Viola Mi, Role: Xiao Xiao / Lin Shao Mei
Zang Hong Na, Role: Gu Xing Hong","Romance
 Life
 Youth
 Drama",7.9,4469,https://mydramalist.com/9137-my-sunshine
Luoyang (2021),2021,China,"Gao Bing Zhu is a notorious deputy marshal who sits on the bottom rung of society. Suspected of a crime, he must confirm his innocence. While investigating, he meets a young man named Baili Hong Yi, searching for the truth behind his father's death. They team up to solve both mysteries. 

A woman from a well-moneyed family with superior martial arts skills and intense survival instincts is on a mission of her own. She approaches Gao Bing Zhu to pry information out of him. Their annoying class differences create a mutual dislike for one another. Despite the tension, they soon find themselves joined at the hip. Their investigation unearths a shocking conspiracy. Once made public, it will likely destroy the entire city, leaving  Luoyang with blood on his hands.

",Xie Ze,"Huang Xuan, Role: Gao Bing Zhu
Wang Yi Bo, Role: Baili Hong Yi / Erlang
Victoria Song, Role: Wu Si Yue 
Song Yi, Role: Liu Ran 
Yong Mei, Role: Wu Ze Tian [Empress]
Liu Duan Duan, Role: Prince Dong Chuan [Empress's grandson]","Thriller
 Historical
 Mystery",8.2,2372,https://mydramalist.com/59017-luo-yang
Someone Like You (2015),2015,Taiwan,"A man loses everything in one day in a tragic car accident. Fang Zhan Cheng lost his fiancée, Liang Luo Han , but he also lost his own eyesight. Devastated by the loss of his fiancée, Zhan Cheng is inconsolable and even refuses a corneal transplant that could restore his vision. But his life takes an unexpected turn when Wang Yu Xi, who looks exactly like his fiancée, is hired to become Zhan Cheng’s day nurse. Another young woman, Xu Ya Ti, receives Luo Han’s heart in a transplant and begins to exhibit many of Luo Han’s mannerisms and personality. Caught between a woman who looks exactly like his beloved dead fiancée and another woman who behaves just like her, what will Zhan Cheng do? “Someone Like You” is a 2015 Taiwanese drama series directed by Chen Rong Hui. ",Chen Rong Hui,"Kingone Wang, Role: Fang Zhan Cheng
Lorene Jen, Role: Liang Luo Han | Chen Yu Xi
Sean Lee, Role: Li Bo Yan
William Liao, Role: Shen Wei Lian
Nita Xia, Role: Xu Ya Ti
Angela Lee, Role: Wang Xiao Lin","Romance
 Drama
 Melodrama",7.9,2331,https://mydramalist.com/12469-someone-like-you
Love Keeps Going (2011),2011,Taiwan,"It all started when Zha Mei Le (Cyndi Wang) was just a little girl. She overheard her parents decided to get a divorce and deciding which child should stay with who, both of them didn't want Mei Le, so Mei Le decided to change that. She started doing her best at everything, being well behaved, caring, obedient. She achieved a lot of certificates, everyone enjoyed to be with her at work, and her boss just admired her hard work. That's how she met her boyfriend Han Yi Feng (Eli Shih), through her kind and caring soul, even his family loved her, except his brother, Han Yi Lei (Mike He). Kind hearted Mei Le, was just doing a favor that her boyfriend asked to pick up Yi Lei at the airport, and right from the start, the two of them disliked each other. But on the other hand, Mei Le was also trying really hard to fulfill her boyfriend's dream of owning a bakery. But when she finds out her relationship with Yi Feng, isn't as pure as she thought it was after discovering he cheated with a worker at their own bakery, she finds herself falling in love with his brother. ",Business,"Mike He, Role: Han Yi Lei
Cyndi Wang, Role: Zha Mei Le / He Yan Qin
Eli Shi, Role: Han Yi Feng
Vickey Liu, Role: [Zha's mother]
Benny Wen, Role: Xiao Zhi
Michelle Zhang, Role: Guo Xuan Xuan","Business
 Comedy
 Romance
 Drama",7.4,3077,https://mydramalist.com/2471-love-keeps-going
Jang Ok Jung (2013),2013,South Korea,"This drama tells the story of Jang Hee Bin, one of the most famous royal concubines in the Joseon Dynasty who was behind the deposition of King Sook Jong’s wife, Queen In Hyun. However, unlike the countless dramas and movies about this famous villain, this drama will tell the story of Jang Ok Jung before she became concubine Jang Hee Bin and focus on her role as a fashion designer and cosmetic maker in the Joseon era. ",Choi Jung Mi,"Yoo Ah In, Role: King Suk Jong
Kim Tae Hee, Role: Jang Ok Jung 
Hong Soo Hyun, Role: Queen In Hyun
Lee Sang Yeob, Role: Prince Dong Pyung
Jae Hee, Role: Hyun Chi Soo
Sung Dong Il, Role: Jang Hyun [Ok Jung's uncle]","Historical
 Romance
 Drama",7.8,3551,https://mydramalist.com/5570-jang-ok-jung
